wire_id,bundle,circuit,signal,rail,endpoint_a,endpoint_b,connector_a,termination_a,connector_b,termination_b,from_xyz,to_xyz,route,gauge,routed_mm_est,service_slack_mm,strain_relief_mm,cut_length_mm,confidence,disposition,cut_to_fit_at_dry_fit,color_label,joint_ids,electrical_basis,ordering_class
W-PDB-001,on-PDB,BATTERY_MAIN,BAT+,power,CAS-DOCK.XT60_LOAD.BAT+,PDB.BAT+,XT60 recessed load half,SOLDERED cup,PDB pad,SOLDERED,"X +42…+58, L near −32, Z local TBD","X +1…+46, L −27.5…+27.5, Z +1…+19",on-PDB: ganged-dock XT60 seat → BAT pad; shortest protected run,16 AWG,50,30,20,100,FIRM electrical / ASSUMPTION physical,DEFER — 2S pack in transit,YES,red · POWER · BAT+,J-CAS-012; J-CAS-017; J-PWR-002,"Connector map: Battery main · Pack → PDB · +, − · XT60",BASE
W-PDB-002,on-PDB,BATTERY_MAIN,BAT−,power,CAS-DOCK.XT60_LOAD.BAT−,PDB.BAT−,XT60 recessed load half,SOLDERED cup,PDB pad,SOLDERED,"X +42…+58, L near −32, Z local TBD","X +1…+46, L −27.5…+27.5, Z +1…+19",on-PDB: ganged-dock XT60 seat → BAT pad; shortest protected run,16 AWG,50,30,20,100,FIRM electrical / ASSUMPTION physical,DEFER — 2S pack in transit,YES,black · POWER · BAT−,J-CAS-012; J-CAS-017; J-PWR-002,"Connector map: Battery main · Pack → PDB · +, − · XT60",BASE
W-PDB-003,on-PDB,USB_C_CHARGE,5 V,power,HIDDEN_USB_C.VBUS,PDB/IP2326_INTERFACE.USB_5V,USB-C receptacle pad,SOLDERED,PDB/IP2326 interface pad,SOLDERED,UNPLACED hidden shell opening; X/L/Z TBD,"X −31…−1, L −13…+12, Z +1…+11",on-PDB/charge bay; hidden-port path TBD; keep D+/D− together,22 AWG,40,70,30,140,FIRM electrical / ASSUMPTION physical,DEFER — IP2326 charge hardware not sourced,YES,red · POWER · USB 5V,J-CHG-001; J-CHG-003; J-CAS-005,"Connector map: USB-C charge · port → PDB · 5 V, D±/CC; common-ground rule supplies GND",BASE
W-PDB-004,on-PDB,USB_C_CHARGE,GND,power,HIDDEN_USB_C.GND,PDB/IP2326_INTERFACE.USB_GND,USB-C receptacle pad,SOLDERED,PDB/IP2326 interface pad,SOLDERED,UNPLACED hidden shell opening; X/L/Z TBD,"X −31…−1, L −13…+12, Z +1…+11",on-PDB/charge bay; hidden-port path TBD; keep D+/D− together,22 AWG,40,70,30,140,FIRM electrical / ASSUMPTION physical,DEFER — IP2326 charge hardware not sourced,YES,black · POWER · USB GND,J-CHG-001; J-CHG-003; J-CAS-005,"Connector map: USB-C charge · port → PDB · 5 V, D±/CC; common-ground rule supplies GND",BASE
W-PDB-005,on-PDB,USB_C_CHARGE,D+,power,HIDDEN_USB_C.D+,PDB/IP2326_INTERFACE.USB_D+,USB-C receptacle pad,SOLDERED,PDB/IP2326 interface pad,SOLDERED,UNPLACED hidden shell opening; X/L/Z TBD,"X −31…−1, L −13…+12, Z +1…+11",on-PDB/charge bay; hidden-port path TBD; keep D+/D− together,28 AWG,40,70,30,140,FIRM electrical / ASSUMPTION physical,DEFER — IP2326 charge hardware not sourced,YES,green · USB D+,J-CHG-001; J-CHG-003; J-CAS-005,"Connector map: USB-C charge · port → PDB · 5 V, D±/CC; common-ground rule supplies GND",BASE
W-PDB-006,on-PDB,USB_C_CHARGE,D−,power,HIDDEN_USB_C.D−,PDB/IP2326_INTERFACE.USB_D−,USB-C receptacle pad,SOLDERED,PDB/IP2326 interface pad,SOLDERED,UNPLACED hidden shell opening; X/L/Z TBD,"X −31…−1, L −13…+12, Z +1…+11",on-PDB/charge bay; hidden-port path TBD; keep D+/D− together,28 AWG,40,70,30,140,FIRM electrical / ASSUMPTION physical,DEFER — IP2326 charge hardware not sourced,YES,white · USB D−,J-CHG-001; J-CHG-003; J-CAS-005,"Connector map: USB-C charge · port → PDB · 5 V, D±/CC; common-ground rule supplies GND",BASE
W-PDB-007,on-PDB,USB_C_CHARGE,CC,power,HIDDEN_USB_C.CC,PDB/IP2326_INTERFACE.USB_CC,USB-C receptacle pad,SOLDERED,PDB/IP2326 interface pad,SOLDERED,UNPLACED hidden shell opening; X/L/Z TBD,"X −31…−1, L −13…+12, Z +1…+11",on-PDB/charge bay; hidden-port path TBD; keep D+/D− together,28 AWG,40,70,30,140,FIRM electrical / ASSUMPTION physical,DEFER — IP2326 charge hardware not sourced,YES,blue · USB CC,J-CHG-001; J-CHG-003; J-CAS-005,"Connector map: USB-C charge · port → PDB · 5 V, D±/CC; common-ground rule supplies GND",BASE
W-PDB-008,on-PDB,PACK_BALANCE,2S balance contact 1,power,CAS-DOCK.BALANCE_LOAD.pin1,IP2326.JST-XH_3.pin1,JST-XH 3-pin load half,CRIMPED contact,JST-XH 3-pin charge-module half,CRIMPED contact,"X +42…+58, L near +32, Z local TBD","X −31…−1, L −13…+12, Z +1…+11",on-PDB: balance dock seat → charge bay; pin order witness pending,22 AWG,50,40,20,110,FIRM electrical / ASSUMPTION physical,DEFER — 2S pack and IP2326 not sourced,YES,white flag · BAL-1 · polarity TBD,J-CAS-005; J-CAS-014; J-CHG-001,Connector map: Pack balance · Pack → charge module · 2S balance · JST-XH 3-pin,BASE
W-PDB-009,on-PDB,PACK_BALANCE,2S balance contact 2,power,CAS-DOCK.BALANCE_LOAD.pin2,IP2326.JST-XH_3.pin2,JST-XH 3-pin load half,CRIMPED contact,JST-XH 3-pin charge-module half,CRIMPED contact,"X +42…+58, L near +32, Z local TBD","X −31…−1, L −13…+12, Z +1…+11",on-PDB: balance dock seat → charge bay; pin order witness pending,22 AWG,50,40,20,110,FIRM electrical / ASSUMPTION physical,DEFER — 2S pack and IP2326 not sourced,YES,white flag · BAL-2 · polarity TBD,J-CAS-005; J-CAS-014; J-CHG-001,Connector map: Pack balance · Pack → charge module · 2S balance · JST-XH 3-pin,BASE
W-PDB-010,on-PDB,PACK_BALANCE,2S balance contact 3,power,CAS-DOCK.BALANCE_LOAD.pin3,IP2326.JST-XH_3.pin3,JST-XH 3-pin load half,CRIMPED contact,JST-XH 3-pin charge-module half,CRIMPED contact,"X +42…+58, L near +32, Z local TBD","X −31…−1, L −13…+12, Z +1…+11",on-PDB: balance dock seat → charge bay; pin order witness pending,22 AWG,50,40,20,110,FIRM electrical / ASSUMPTION physical,DEFER — 2S pack and IP2326 not sourced,YES,white flag · BAL-3 · polarity TBD,J-CAS-005; J-CAS-014; J-CHG-001,Connector map: Pack balance · Pack → charge module · 2S balance · JST-XH 3-pin,BASE
